y_true,y_pred,prob_class_Bundesliga,prob_class_Bundesliga 2,prob_class_EFL Championship,prob_class_LaLiga,prob_class_LaLiga 2,prob_class_Ligue 1,prob_class_Ligue 2,prob_class_Premier League,prob_class_Serie A,prob_class_Serie B,erreur,pays_true,pays_pred,meme_pays
Serie B,Bundesliga 2,0.0967686323230288,0.2568048921015,0.0899352705309126,0.0303324261453079,0.0773202444349436,0.0604020157966279,0.0331514001321409,0.0159431856865654,0.2515545136388636,0.0877874192101089,True,Italie,Allemagne,False
LaLiga 2,LaLiga,0.0125586880235655,0.008032290598641,0.0539821840662175,0.2795634643871235,0.1914852920430357,0.1911837629139336,0.0149194184905709,0.0770772209855077,0.0118971870818548,0.1593004914095493,True,Espagne,Espagne,True
Bundesliga 2,Serie B,0.0075373678908573,0.0639892943094996,0.1764907836346705,0.0456902957612615,0.1175716606715594,0.029729677527112,0.2065989463276462,0.0296795158802776,0.0176655319579321,0.3050469260391835,True,Allemagne,Italie,False
Ligue 2,EFL Championship,2.5076750295866037e-05,0.0253084720419442,0.9278146192600396,9.677221903593909e-05,0.0173470835914005,0.0009153901579482,0.0170854401370447,0.0011000049379052,0.000187884711744,0.010119256192641,True,France,Angleterre,False
Serie B,Serie A,0.028650801044476,0.0299017083955814,0.0071738302049234,0.0383245742295871,0.005627908633697,0.0558592388600132,0.0004455811249516,0.0116022779493297,0.5333403924925747,0.2890736870648658,True,Italie,Italie,True
EFL Championship,LaLiga,0.1503330401764658,0.0044703340262068,0.2490239443629631,0.4100064723983668,0.0037376328196086,0.0483124840976966,0.0072157054764909,0.103623561203884,0.0158371023028355,0.0074397231354813,True,Angleterre,Espagne,False
Premier League,EFL Championship,0.003841641748205,0.0013212803412112,0.7456208026377111,9.185500100435134e-05,0.0004376966378586,0.0005163667612056,0.002501680371775,0.2440465249192732,0.0013242866874236,0.0002978648943316,True,Angleterre,Angleterre,True
Premier League,EFL Championship,0.0238723537404042,0.0101127415129582,0.4526713589177645,0.0300729158346108,0.038470528726721,0.0557348759115218,0.006042506482839,0.3741390207451345,0.0032868080298733,0.0055968900981722,True,Angleterre,Angleterre,True
Bundesliga,LaLiga 2,0.0615330142922249,0.131951923492571,0.0147539341368501,0.1679499524565992,0.467257485040227,0.0230441903517828,0.0929491407548475,0.0094534248630164,0.0066938988627665,0.024413035749114,True,Allemagne,Espagne,False
Bundesliga 2,LaLiga 2,0.0072224816459677,0.1181548087810181,0.0299519876072523,0.0689323747022027,0.4064862431499761,0.0012030170080746,0.0202234032074441,0.0032263578420074,0.1817870310907939,0.1628122949652626,True,Allemagne,Espagne,False
LaLiga 2,LaLiga,0.0025564053980244,0.0126869998997714,0.0192838575496634,0.5532567704170499,0.2771726325904215,0.0091696401861714,0.0167682991593499,0.0111587875070712,0.0305146421455981,0.0674319651468783,True,Espagne,Espagne,True
Bundesliga 2,Serie B,0.0255876357140245,0.0426002118294793,0.0355505965476931,0.0354349472375491,0.0665649927902187,0.0060895508319214,0.258438810269866,0.000626378027229,0.1917407228846825,0.3373661538673358,True,Allemagne,Italie,False
LaLiga 2,LaLiga,0.0150547400843291,0.0146683206983288,0.0221418847185369,0.699579634097628,0.1239230205002629,0.0141698785681736,0.0261234675103012,0.0157384830412276,0.06488083028185,0.0037197404993615,True,Espagne,Espagne,True
Ligue 1,Ligue 2,0.0108029648504442,0.0071203058385531,0.1289998486259636,0.0866597813056822,0.1000778638128806,0.0946362018541732,0.5128696505267505,0.0289220480077088,0.0169563582759367,0.0129549769019067,True,France,France,True
Serie B,EFL Championship,0.0085456147608836,0.0087881978598239,0.197777537461724,0.1036120514562137,0.0768614359515437,0.1652945243711138,0.0939901196335274,0.1326801550652621,0.0360685668815857,0.1763817965583216,True,Italie,Angleterre,False
Serie A,EFL Championship,0.0052210233256534,0.0142006200762223,0.2929028349583778,0.0151283456094385,0.0841839279926835,0.0033791528531979,0.1657694100936041,0.0078601482380296,0.2051349986938769,0.2062195381589157,True,Italie,Angleterre,False
Serie B,EFL Championship,0.0188933277179836,0.0054022798404065,0.2263635605230159,0.0130545072326541,0.1643280768084199,0.0905853499145618,0.2259176010165066,0.1422313630204864,0.0201160994792702,0.0931078344466946,True,Italie,Angleterre,False
EFL Championship,Premier League,0.0006011586281218,0.0041471323717569,0.4601947803782241,0.0023757270930818,0.0037411697482416,0.0057404812710495,0.0057971600550937,0.5055876423401179,0.0055572841745374,0.0062574639397749,True,Angleterre,Angleterre,True
Bundesliga,EFL Championship,0.0882066515928296,0.0542604335117468,0.2195994139455616,0.0698053534841728,0.1614155835151161,0.1065863085917949,0.1637890976490369,0.0734827524019601,0.0050548103073486,0.057799595000432,True,Allemagne,Angleterre,False
Serie B,Serie A,0.0650011079678853,0.1020164491464571,0.0011640580316302,0.0117954239018005,0.2102663156910424,0.0014722952890579,0.0003453876403055,0.0001563645748549,0.5211691057007751,0.0866134920561906,True,Italie,Italie,True
EFL Championship,Premier League,0.0057103277905144,0.0071773104614658,0.3064416244459915,0.0014847227808142,0.0002745250521317,0.0025655463485332,0.0009109319095964,0.6737240533277512,0.0014078477150123,0.0003031101681891,True,Angleterre,Angleterre,True
Serie A,Serie B,0.0019467906604383,0.0366098586328803,0.0558652074678672,0.0022514155222498,0.0361463727694159,0.002631307571667,0.1930783051014084,0.0004174977070233,0.0987306349841386,0.5723226095829109,True,Italie,Italie,True
Bundesliga 2,EFL Championship,0.0105394090843775,0.1593789914930917,0.4903992314074265,0.0066298480339453,0.0134668221121265,0.0193597345743554,0.0009584339492435,0.2337975944923488,0.050647190710048,0.0148227441430361,True,Allemagne,Angleterre,False
EFL Championship,Premier League,0.0268659659922975,0.0243875461506676,0.3966019639423807,0.0067136563001863,0.0067868712092147,0.008471106804028,0.0014829988827826,0.5257833238680748,0.001659069269535,0.0012474975808324,True,Angleterre,Angleterre,True
Bundesliga 2,EFL Championship,0.0061765183298479,0.0236748541186962,0.88919786049902,0.0093108161993513,0.0015179515401031,0.0049149556795046,0.0123447604132464,0.0498789485141701,0.0023082541645525,0.0006750805415072,True,Allemagne,Angleterre,False
Serie B,Serie A,0.0006074643272842,0.0148323565314524,0.0366602903696328,0.0035844705147955,0.0247563119159919,0.0055461083812394,0.009648853937466,0.0107371273776162,0.5520392209941931,0.341587795650328,True,Italie,Italie,True
Bundesliga 2,EFL Championship,0.042638651404773,0.0198675307990475,0.6623342703361507,0.0083915595149453,0.0151733066788891,0.0030210215954059,0.0539694803333822,0.1484926132237851,0.0378263408449899,0.0082852252686312,True,Allemagne,Angleterre,False
Bundesliga 2,Bundesliga,0.2767831396420463,0.2511872819165325,0.0113644460275664,0.0096422238027497,0.0438279745131318,0.0064440628261113,0.0205533402064775,0.0021540058047051,0.1095317959683035,0.2685117292923756,True,Allemagne,Allemagne,True
