y_true,y_pred,prob_class_Bundesliga,prob_class_Bundesliga 2,prob_class_EFL Championship,prob_class_LaLiga,prob_class_LaLiga 2,prob_class_Ligue 1,prob_class_Ligue 2,prob_class_Premier League,prob_class_Serie A,prob_class_Serie B,erreur,pays_true,pays_pred,meme_pays
Bundesliga 2,Bundesliga,0.5353923,0.36600542,0.06988524,0.0016239973,0.0035150242,0.002012308,0.011772841,0.0042045848,0.00307713,0.0025111511,True,Allemagne,Allemagne,True
LaLiga,LaLiga 2,0.0016089953,0.01183766,0.0013747413,0.17151225,0.63333553,0.0035065517,0.00046520916,0.0027058946,0.07716322,0.09648995,True,Espagne,Espagne,True
EFL Championship,Premier League,0.00011349194,0.004006941,0.4616455,0.0001408282,0.0042908173,0.009809363,0.012098071,0.50318974,0.0010922129,0.0036130615,True,Angleterre,Angleterre,True
Serie A,Serie B,0.00014620966,0.018969674,0.0063036415,0.0002685345,0.057913553,0.001446169,0.00032312304,0.0010232853,0.1515424,0.7620634,True,Italie,Italie,True
Ligue 2,Ligue 1,0.00793322,0.062281925,0.044172656,0.0038380276,0.010662531,0.6287247,0.22429202,0.005823451,0.010144048,0.0021274511,True,France,France,True
Serie B,LaLiga 2,0.01882919,0.026532428,0.055144355,0.012429938,0.33516663,0.0036216173,0.00049576734,0.0074095596,0.206976,0.33339453,True,Italie,Espagne,False
Serie B,EFL Championship,8.224526e-05,0.05070334,0.49928635,3.9170372e-05,0.0020062712,5.124057e-05,0.005836319,6.8133144e-05,0.0026393146,0.43928757,True,Italie,Angleterre,False
Premier League,EFL Championship,0.0012083801,0.0005841032,0.79972064,0.002667888,0.00027526967,0.00027898033,0.000121678655,0.19508146,3.6107194e-05,2.5476595e-05,True,Angleterre,Angleterre,True
Premier League,EFL Championship,0.00076984934,0.10466062,0.60735875,0.0014389319,0.062101543,0.016901355,0.045982555,0.13366956,0.011006942,0.016109908,True,Angleterre,Angleterre,True
Ligue 2,Ligue 1,0.0014718178,0.02477863,0.006336751,0.005066085,0.002413416,0.75592947,0.19325882,0.009007344,0.0013052654,0.00043239494,True,France,France,True
Premier League,EFL Championship,0.00018720076,4.2246877e-05,0.6614977,0.0002468949,2.7917462e-05,0.00044841054,1.260611e-05,0.33583653,0.0016803172,2.0193864e-05,True,Angleterre,Angleterre,True
Premier League,EFL Championship,0.0007939448,0.0003985073,0.6559622,0.0028092342,0.0022938976,0.0014081016,0.0010922902,0.3343783,0.00045917762,0.00040432456,True,Angleterre,Angleterre,True
Bundesliga 2,Bundesliga,0.7162724,0.24893008,0.010882616,0.00017349544,0.007858779,0.0014156471,0.0037647479,0.00017584165,0.0016713871,0.008855016,True,Allemagne,Allemagne,True
Bundesliga 2,Bundesliga,0.7924105,0.1756218,0.0004297413,0.016878465,0.002084404,0.010085472,9.82696e-05,0.00091780577,0.0012882573,0.00018535335,True,Allemagne,Allemagne,True
Ligue 2,Ligue 1,0.0014999942,0.0016055873,0.019765375,0.010742788,0.061123364,0.5635188,0.33611944,0.0021654118,0.000988179,0.002471026,True,France,France,True
Premier League,EFL Championship,0.0001283702,0.0002601487,0.85068077,2.0615944e-05,2.8767001e-05,0.00069761096,4.620719e-05,0.1479376,0.00012645018,7.345113e-05,True,Angleterre,Angleterre,True
Serie B,Serie A,0.00075812853,0.0021506923,0.0060589984,0.00028027518,0.0020933638,0.00013935947,0.00047909966,0.0022416832,0.92536443,0.06043394,True,Italie,Italie,True
Premier League,EFL Championship,0.0013886194,0.0011889709,0.5387601,0.0013209829,0.00017771513,0.0008940396,0.0003829104,0.4553868,0.00027693596,0.0002229011,True,Angleterre,Angleterre,True
Premier League,EFL Championship,0.0028374004,0.0037077894,0.5645639,0.0028101346,0.0007734484,0.0040809535,0.00074879406,0.42019573,0.00016981058,0.00011213822,True,Angleterre,Angleterre,True
LaLiga 2,LaLiga,6.144901e-05,0.0017466316,0.0013239903,0.6556566,0.305377,8.31356e-05,0.0055513605,6.81001e-05,0.00058116234,0.029550586,True,Espagne,Espagne,True
Ligue 2,EFL Championship,0.00035835445,0.0232155,0.49694714,0.0004538208,0.010551187,0.0010407721,0.437903,0.0006796362,0.004246714,0.024603894,True,France,Angleterre,False
